成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
粉家軍丨楓, 89, 177132, 0, 35, 0, 33049249, 14829, 17408, 500827, 16280, 河東, 天機海賊
Joker囧, 15, 176604, 0, 0, 0, 56252188, 64965, 33963, 42601, 25736, 河東, 西八屁屁
丨九紋龍丨, 71, 176424, 0, 0, 0, 67623082, 21383, 20909, 249407, 23460, 司隸, 文青茶棧
聖域の雲雲, 29, 171154, 2116, 0, 0, 94946126, 83578, 12432, 0, 28670, 司隸, 血流
力宏敢, 133, 166106, 3323, 0, 0, 37541870, 16738, 5284, 595118, 16893, 河東, 血流
薪水不夠多, 100, 162315, 4, 0, 0, 49981428, 15082, 25731, 328084, 20469, 司隸, 天機海賊
Wei, 132, 161207, 3225, 0, 0, 49381496, 19580, 8298, 540682, 19460, 河東, 文青茶棧
仙草丨不回家, 101, 144300, 2887, 0, 0, 52058929, 14991, 22035, 970517, 21178, 司隸, 西八屁屁
馬勒喇嘛, 142, 130142, 2604, 0, 0, 22689130, 4476, 14621, 998690, 20370, 河東, 西八屁屁
WarCry, 129, 128252, 2567, 0, 0, 13829637, 4540, 21744, 1215329, 12174, 河東, 血流
瑋王, 115, 123168, 0, 0, 0, 38453520, 17563, 22026, 545052, 22223, 司隸, 西八屁屁
悟空我大佬, 107, 122122, 2443, 0, 0, 16964386, 38475, 7386, 418226, 14200, 司隸, 西八屁屁
甲必丹, 92, 105669, 2114, 35, 0, 27630990, 29399, 9326, 552427, 16106, 司隸, 天機海賊
尼姆, 134, 83480, 1670, 0, 0, 34898912, 13471, 13142, 872037, 16540, 司隸, 文青茶棧
